iter	Passed	Remaining
887	59251	7473
888	59341	7409
889	59414	7343
890	59481	7276
891	59549	7210
892	59615	7143
893	59685	7076
894	59753	7010
895	59817	6943
896	59886	6876
897	59949	6809
898	60013	6742
899	60075	6675
900	60151	6609
901	60221	6542
902	60291	6476
903	60352	6409
904	60421	6342
905	60485	6275
906	60550	6208
907	60616	6141
908	60682	6074
909	60754	6008
910	60819	5941
911	60887	5875
912	60961	5809
913	61027	5742
914	61096	5675
915	61167	5609
916	61230	5542
917	61302	5475
918	61390	5410
919	61460	5344
920	61524	5277
921	61588	5210
922	61657	5143
923	61722	5076
924	61792	5010
925	61860	4943
926	61934	4877
927	62019	4811
928	62083	4744
929	62146	4677
930	62216	4611
931	62286	4544
932	62352	4477
933	62426	4411
934	62494	4344
935	62559	4277
936	62621	4210
937	62691	4143
938	62762	4077
939	62827	4010
940	62893	3943
941	62964	3876
942	63034	3810
943	63107	3743
944	63177	3677
945	63254	3610
946	63326	3544
947	63396	3477
948	63482	3411
949	63557	3345
950	63618	3277
951	63682	3210
952	63749	3144
953	63814	3077
954	63884	3010
955	63952	2943
956	64020	2876
957	64095	2810
958	64160	2743
959	64226	2676
960	64291	2609
961	64356	2542
962	64424	2475
963	64493	2408
964	64558	2341
965	64624	2274
966	64688	2207
967	64754	2140
968	64814	2073
969	64886	2006
970	64944	1939
971	65022	1873
972	65096	1806
973	65160	1739
974	65229	1672
975	65295	1605
976	65361	1538
977	65430	1471
978	65493	1404
979	65548	1337
980	65622	1270
981	65680	1203
982	65741	1136
983	65824	1070
984	65896	1003
985	65947	936
986	66022	869
987	66104	802
988	66158	735
989	66221	668
990	66296	602
991	66363	535
992	66428	468
993	66492	401
994	66556	334
995	66623	267
996	66685	200
997	66751	133
998	66812	66
999	66877	0
